country,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,Africa,2480,2090,1640,2150,2210,2290,2120,2260,2430,2560,2710,2340,2900,2930,3060,3120,3290,3370,3570,3730,3640,3640,3750,3830,3930,3950,3850,3720,3580,3640,3570,3440,3420,3280,3180,3240,3320,3300,3410,3470,3560,3620,3770,3990,4110,4290,4300,4380,4410,4400,4480,4520,4590,4620,4700,4780,4830,4790,4760,4710
Angola,Africa,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,2930,2830,2850,2910,2910,2890,2900,2980,2880,2690,2620,2390,1760,1730,1920,2110,2200,2230,2200,2200,2210,2430,2420,2600,2880,3100,3410,3650,3550,3590,3580,3750,3800,3840,3750,3530,3410,3230,3100
Argentina,South America,5640,5850,5710,5320,5770,6290,6150,6260,6460,6980,7080,7370,7370,7450,7740,7620,7350,7740,7290,7910,7910,7380,7210,7400,7400,6900,7210,7290,7100,6500,6250,6720,7160,7640,7990,7670,7990,8540,8770,8380,8220,7780,6850,7380,7960,8580,9170,9900,10200,9500,10400,10900,10600,10800,10400,10600,10200,10400,10000,9730
Australia,Australia/Oceania,19400,19500,19200,20100,21000,21900,21900,23000,23700,24900,26100,26300,26800,27100,27500,27500,27900,28600,28500,29400,29900,30400,30900,29900,30900,32000,32800,33100,34500,35200,35900,35300,35000,36100,37100,38100,39100,40200,41600,43200,44300,44600,45800,46600,47900,48800,49400,51000,51800,51800,52000,52600,53700,54100,54700,55100,55700,56100,56900,57100
Austria,Europe,13000,13700,14000,14400,15200,15600,16400,16800,17400,18500,19600,20500,21600,22600,23400,23400,24500,25700,25700,27100,27600,27500,28000,28900,28900,29600,30300,30700,31600,32700,33900,34700,35000,34900,35600,36500,37300,38100,39400,40700,42000,42400,42900,43100,44000,44600,46000,47500,48100,46100,46900,48100,48200,47900,47800,47800,48300,49100,50100,50700
Azerbaijan,Asia,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3100,2360,1790,1420,1230,1240,1300,1410,1510,1660,1810,1960,2150,2330,2950,3920,4860,5270,5640,5840,5680,5720,5980,6070,6060,5810,5760,5800,5880
Bangladesh,Asia,372,384,394,381,411,405,402,382,406,399,411,381,322,328,354,333,344,344,359,366,359,375,374,378,386,389,394,399,398,399,411,416,429,439,447,460,470,481,496,508,525,541,552,568,588,618,650,687,720,748,781,822,866,907,951,1000,1060,1130,1200,1290
Belarus,Europe,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3060,2760,2550,2250,2020,2090,2340,2540,2640,2810,2960,3130,3370,3780,4160,4610,5030,5560,5580,6030,6370,6480,6540,6650,6380,6220,6380,6590,6680
Belgium,Europe,13000,13600,14300,14800,15700,16100,16500,17000,17700,18800,19800,20600,21600,22900,23800,23300,24600,24700,25400,25900,27100,27000,27200,27200,27900,28400,28900,29500,30800,31800,32700,33100,33500,33100,34000,34800,35200,36400,37000,38300,39600,39900,40400,40600,41900,42600,43400,44700,44600,43300,44100,44300,44400,44400,44900,45500,45900,46600,47100,47500
Benin,Africa,712,724,689,710,745,770,783,776,790,796,795,766,798,809,816,758,746,763,753,781,812,869,864,803,843,880,874,836,839,790,834,840,835,854,842,863,873,895,904,924,950,971,985,989,1000,989,999,1030,1050,1040,1040,1040,1060,1100,1140,1130,1130,1170,1210,1260
